Time,State,Pump 1 Voltage,Pump 2 Voltage
2336.172119,Idle,0,0
2336.771973,Idle,0,0
2337.37207,Idle,0,0
2337.971924,Idle,0,0
2338.572021,Idle,0,0
2339.172119,Idle,0,0
2339.771973,Idle,0,0
2340.37207,Idle,0,0
2340.971924,Idle,0,0
2341.572021,Idle,0,0
2342.172119,Idle,0,0
2342.771973,Idle,0,0
2343.37207,Idle,0,0
2343.971924,Idle,0,0
2344.572021,Idle,0,0
2345.172119,Idle,0,0
2345.771973,Idle,0,0
2346.37207,Idle,0,0
2346.971924,Idle,0,0
2347.572021,Idle,0,0
2348.172119,Idle,0,0
2348.771973,Idle,0,0
2349.37207,Idle,0,0
2349.971924,Idle,0,0
2350.572021,Idle,0,0
2351.172119,Idle,0,0
2351.771973,Idle,0,0
2352.37207,Idle,0,0
2352.971924,Idle,0,0
2353.572021,Idle,0,0
2354.172119,Idle,0,0
2354.771973,Idle,0,0
2355.37207,Idle,0,0
2355.971924,Idle,0,0
2356.572021,Idle,0,0
2357.172119,Idle,0,0
2357.771973,Idle,0,0
2358.37207,Idle,0,0
2358.971924,Idle,0,0
2359.572021,Idle,0,0
2360.172119,Idle,0,0
2360.771973,Idle,0,0
2361.37207,Idle,0,0
2361.971924,Idle,0,0
2362.572021,Idle,0,0
2363.172119,Idle,0,0
2363.771973,Idle,0,0
2364.37207,Idle,0,0
2364.971924,Idle,0,0
2365.572021,Idle,0,0
2366.172119,Idle,0,0
2366.771973,Idle,0,0
2367.37207,Idle,0,0
2367.971924,Idle,0,0
2368.572021,Idle,0,0
2369.172119,Idle,0,0
2369.771973,Idle,0,0
2370.37207,Idle,0,0
2370.971924,Idle,0,0
2371.572021,Idle,0,0
2372.172119,Idle,0,0
2372.771973,Idle,0,0
2373.37207,Idle,0,0
2373.971924,Idle,0,0
2374.572021,Idle,0,0
2375.172119,Idle,0,0
2375.771973,Idle,0,0
2376.37207,Idle,0,0
2376.971924,Idle,0,0
2377.572021,Idle,0,0
2378.172119,Idle,0,0
2378.771973,Idle,0,0
2379.37207,Idle,0,0
2379.971924,Idle,0,0
2380.572021,Idle,0,0
2381.172119,Idle,0,0
2381.771973,Idle,0,0
2382.37207,Idle,0,0
2382.971924,Idle,0,0
2383.572021,Idle,0,0
2384.172119,Idle,0,0
2384.771973,Idle,0,0
2385.37207,Idle,0,0
2385.971924,Idle,0,0
2386.572021,Idle,0,0
2387.172119,Idle,0,0
2387.771973,Idle,0,0
2388.37207,Idle,0,0
2388.971924,Idle,0,0
